,user,text,favorite_count,retweet_count,created_at
100,iamsrk,Thank u Chennai this is really huge!!! https://t.co/8aM3HsfrQg,8850,1168,2023-02-06 09:47:55+00:00
101,iamsrk,Thanks everyone at Beed love u https://t.co/9uQvbnAWBg,5728,966,2023-02-06 09:47:09+00:00
102,iamsrk,Thank u Amravati love u all https://t.co/MeXTJh0UMM,5241,931,2023-02-06 09:45:08+00:00
103,iamsrk,Thank u Kanpur love u all https://t.co/7LXvtOiBHX,5042,876,2023-02-06 09:44:02+00:00
104,iamsrk,Sorry couldn’t meet you guys live u https://t.co/TaGy0z2gGr,5598,947,2023-02-06 09:42:51+00:00
105,iamsrk,Thank u as always Malegaon https://t.co/iC7b2faPgE,4844,906,2023-02-06 09:41:41+00:00
106,iamsrk,Yay Bhopal thank u https://t.co/2wLs4Js5ki,5166,885,2023-02-06 09:40:59+00:00
107,iamsrk,Thank u Krishnagar https://t.co/dhsxvCko46,4673,880,2023-02-06 09:40:38+00:00
108,iamsrk,Have fun but be safe please that’s important thank u https://t.co/e2u2rdKiGl,4659,873,2023-02-06 09:39:50+00:00
109,iamsrk,Thank u Nanded love u https://t.co/bX01CSSd7g,5286,955,2023-02-06 09:37:52+00:00
110,iamsrk,Thank so much….again and again https://t.co/9MuDeez6BJ,4288,816,2023-02-06 09:37:17+00:00
111,iamsrk,Pune thank u for the love https://t.co/NdJthXqRd6,4297,810,2023-02-06 09:36:53+00:00
112,iamsrk,Thank u Birbhum https://t.co/XMmszV7e2j,3808,759,2023-02-06 09:36:36+00:00
113,iamsrk,Thank u for the love Mumbai https://t.co/vHrtKw9XvD,5020,854,2023-02-06 09:36:14+00:00
114,iamsrk,Thank u Bhubhaneshwar https://t.co/53NvJ0dxi0,4569,837,2023-02-06 09:35:42+00:00
115,iamsrk,Thank u Kolhapur love u https://t.co/WwoYeKmx7V,4351,812,2023-02-06 09:34:52+00:00
116,iamsrk,Maybe we could have a wedding also here..thank u https://t.co/W9GM32eo6U,4709,860,2023-02-06 09:34:32+00:00
117,iamsrk,Ahmedabad thank u so much https://t.co/uX2KZlMEl8,4882,836,2023-02-06 09:33:57+00:00
118,iamsrk,Awesome thank u so much https://t.co/MBOlvB5FDo,4432,784,2023-02-06 09:33:24+00:00
119,iamsrk,Thanks many time over Kolkata https://t.co/n2vBJnS8b4,5088,878,2023-02-06 09:32:49+00:00
120,iamsrk,Thank u so much u are all very kind https://t.co/rJAbxmcCI9,4362,815,2023-02-06 09:29:56+00:00
121,iamsrk,Wah kya baat hai https://t.co/geCcbQnchw,15817,1486,2023-02-06 09:29:20+00:00
